date,expiry,T,S,strike,cp,price,iv,log(K/S)
2026-01-02,260918,0.7095890410958904,6858.47021484375,4000.0,P,23.2,0.3732815514080411,-0.5391900549978985
2026-01-02,260918,0.7095890410958904,6858.47021484375,4250.0,P,28.1,0.35073929861134057,-0.4785654331814637
2026-01-02,260918,0.7095890410958904,6858.47021484375,4500.0,P,34.1,0.32920682676272234,-0.421407019341515
2026-01-02,260918,0.7095890410958904,6858.47021484375,4700.0,P,41.31,0.3150631039566103,-0.37792190740177617
2026-01-02,260918,0.7095890410958904,6858.47021484375,4800.0,P,43.5,0.30504257681318353,-0.35686849820394384
2026-01-02,260918,0.7095890410958904,6858.47021484375,5000.0,P,52.15,0.290704198383519,-0.31604650368368875
2026-01-02,260918,0.7095890410958904,6858.47021484375,5300.0,P,71.4,0.2729232220523753,-0.2577775955597129
2026-01-02,260918,0.7095890410958904,6858.47021484375,5500.0,P,82.1,0.25601405421564366,-0.22073632387936384
2026-01-02,260918,0.7095890410958904,6858.47021484375,5650.0,P,97.3,0.2485281281027136,-0.19382887095943954
2026-01-02,260918,0.7095890410958904,6858.47021484375,5700.0,P,104.62,0.24743342613031852,-0.18501824127728467
2026-01-02,260918,0.7095890410958904,6858.47021484375,5750.0,P,109.82,0.24436188523593136,-0.17628456130853007
2026-01-02,260918,0.7095890410958904,6858.47021484375,5800.0,P,115.8,0.2416937899203919,-0.16762649856541548
2026-01-02,260918,0.7095890410958904,6858.47021484375,5850.0,P,119.7,0.23729047131682046,-0.15904275487402403
2026-01-02,260918,0.7095890410958904,6858.47021484375,5900.0,P,124.9,0.23369858591137094,-0.1505320652061154
2026-01-02,260918,0.7095890410958904,6858.47021484375,5950.0,P,129.6,0.22959703619909833,-0.14209319656025077
2026-01-02,260918,0.7095890410958904,6858.47021484375,6000.0,C,1136.98,0.21997076802279733,-0.13372494688973416
2026-01-02,260918,0.7095890410958904,6858.47021484375,6000.0,P,136.4,0.22676235514111467,-0.13372494688973416
2026-01-02,260918,0.7095890410958904,6858.47021484375,6100.0,P,155.3,0.22376525340020653,-0.11719564493852362
2026-01-02,260918,0.7095890410958904,6858.47021484375,6200.0,P,170.42,0.2173508537185417,-0.10093512406674321
2026-01-02,260918,0.7095890410958904,6858.47021484375,6300.0,P,188.5,0.21174481434877562,-0.08493478272030208
2026-01-02,260918,0.7095890410958904,6858.47021484375,6450.0,P,217.38,0.20243170161028726,-0.06140428531010799
2026-01-02,260918,0.7095890410958904,6858.47021484375,6500.0,C,711.53,0.17893319788024015,-0.05368223921619769
2026-01-02,260918,0.7095890410958904,6858.47021484375,6500.0,P,225.33,0.19798185381401262,-0.05368223921619769
2026-01-02,260918,0.7095890410958904,6858.47021484375,6550.0,P,242.83,0.19805962634265978,-0.04601936647062858
2026-01-02,260918,0.7095890410958904,6858.47021484375,6600.0,C,636.72,0.17354787754010417,-0.03841476708540927
2026-01-02,260918,0.7095890410958904,6858.47021484375,6650.0,P,257.01,0.18709950880987766,-0.03086756145002637
2026-01-02,260918,0.7095890410958904,6858.47021484375,6700.0,P,271.88,0.18495936059279822,-0.023376889720868772
2026-01-02,260918,0.7095890410958904,6858.47021484375,6800.0,C,498.0,0.16394158379786272,-0.008561803935728146
2026-01-02,260918,0.7095890410958904,6858.47021484375,6800.0,P,303.53,0.18052773515157017,-0.008561803935728146
2026-01-02,260918,0.7095890410958904,6858.47021484375,6850.0,P,315.6,0.1761041354458168,-0.0012357638436552459
2026-01-02,260918,0.7095890410958904,6858.47021484375,6900.0,C,416.77,0.15168168017681793,0.006036995485424524
2026-01-02,260918,0.7095890410958904,6858.47021484375,6900.0,P,331.2,0.17293078016540586,0.006036995485424524
2026-01-02,260918,0.7095890410958904,6858.47021484375,6950.0,C,387.9,0.1502280661765501,0.013257243458911694
2026-01-02,261218,0.958904109589041,6858.47021484375,4000.0,P,33.6,0.3492797108574936,-0.5391900549978985
2026-01-02,261218,0.958904109589041,6858.47021484375,4200.0,P,40.0,0.3354408613816577,-0.4903998908284665
2026-01-02,261218,0.958904109589041,6858.47021484375,4500.0,P,49.6,0.31248381978739637,-0.421407019341515
2026-01-02,261218,0.958904109589041,6858.47021484375,4700.0,P,57.57,0.2981535347214909,-0.37792190740177617
2026-01-02,261218,0.958904109589041,6858.47021484375,4800.0,P,63.8,0.2932127152561084,-0.35686849820394384
2026-01-02,261218,0.958904109589041,6858.47021484375,5000.0,C,2073.64,0.24592673434663795,-0.31604650368368875
2026-01-02,261218,0.958904109589041,6858.47021484375,5000.0,P,78.0,0.28344186151263734,-0.31604650368368875
2026-01-02,261218,0.958904109589041,6858.47021484375,5250.0,P,94.1,0.2668557731390784,-0.2672563395142568
2026-01-02,261218,0.958904109589041,6858.47021484375,5400.0,P,109.76,0.2605075614670687,-0.23908546254756036
2026-01-02,261218,0.958904109589041,6858.47021484375,5450.0,P,114.5,0.2576976818034665,-0.22986880744263638
2026-01-02,261218,0.958904109589041,6858.47021484375,5500.0,P,116.25,0.2525897631630719,-0.22073632387936384
2026-01-02,261218,0.958904109589041,6858.47021484375,5600.0,P,130.8,0.24992707680886342,-0.20271781837668557
2026-01-02,261218,0.958904109589041,6858.47021484375,5700.0,P,139.03,0.24234972440450836,-0.18501824127728467
2026-01-02,261218,0.958904109589041,6858.47021484375,5800.0,P,156.11,0.23981397124843104,-0.16762649856541548
2026-01-02,261218,0.958904109589041,6858.47021484375,5850.0,P,161.9,0.2365936112241671,-0.15904275487402403
2026-01-02,261218,0.958904109589041,6858.47021484375,5900.0,P,165.71,0.2321149807590234,-0.1505320652061154
2026-01-02,261218,0.958904109589041,6858.47021484375,6000.0,C,1194.37,0.19895527277895522,-0.13372494688973416
2026-01-02,261218,0.958904109589041,6858.47021484375,6000.0,P,181.21,0.22726533797315718,-0.13372494688973416
2026-01-02,261218,0.958904109589041,6858.47021484375,6050.0,P,186.3,0.22317439219431204,-0.12542614407503908
2026-01-02,261218,0.958904109589041,6858.47021484375,6150.0,P,208.4,0.2207393287573052,-0.10903233429936257
2026-01-02,261218,0.958904109589041,6858.47021484375,6200.0,P,218.4,0.21865234395412836,-0.10093512406674321
2026-01-02,261218,0.958904109589041,6858.47021484375,6250.0,P,230.86,0.21754726330650545,-0.09290295236947896
2026-01-02,261218,0.958904109589041,6858.47021484375,6300.0,P,236.4,0.21295550053129012,-0.08493478272030208
2026-01-02,261218,0.958904109589041,6858.47021484375,6350.0,P,246.3,0.21026971706745753,-0.07702960321318882
2026-01-02,261218,0.958904109589041,6858.47021484375,6400.0,C,874.0,0.18031276448237807,-0.06918642575216294
2026-01-02,261218,0.958904109589041,6858.47021484375,6400.0,P,260.83,0.20948583003644164,-0.06918642575216294
2026-01-02,261218,0.958904109589041,6858.47021484375,6500.0,C,808.79,0.18034130730187195,-0.05368223921619769
2026-01-02,261218,0.958904109589041,6858.47021484375,6500.0,P,277.23,0.20167007901900302,-0.05368223921619769
2026-01-02,261218,0.958904109589041,6858.47021484375,6550.0,P,296.01,0.2020379887312807,-0.04601936647062858
2026-01-02,261218,0.958904109589041,6858.47021484375,6600.0,C,721.21,0.16953372578553919,-0.03841476708540927
2026-01-02,261218,0.958904109589041,6858.47021484375,6600.0,P,305.01,0.19801771704467377,-0.03841476708540927
2026-01-02,261218,0.958904109589041,6858.47021484375,6650.0,C,696.25,0.17183979543676361,-0.03086756145002637
2026-01-02,261218,0.958904109589041,6858.47021484375,6700.0,C,656.01,0.1674512755090584,-0.023376889720868772
2026-01-02,261218,0.958904109589041,6858.47021484375,6700.0,P,327.31,0.19122982553426385,-0.023376889720868772
2026-01-02,261218,0.958904109589041,6858.47021484375,6750.0,C,628.78,0.16812619769174494,-0.0159419112333507
