date,eta,kappa,lambda_1,rho,nu_0,rmse
2026-01-02,0.10296256823891659,0.9568041984821978,1.1357162491566362,-0.99,0.15550798791215775,0.015043465998462652
2026-01-05,0.062283856482404164,1.0006429459983326,0.801398578123415,-0.903123400653544,0.18046244234766795,0.0298202348147713
2026-01-06,0.07769650406734165,2.1407755510287267,2.0,-0.8643230709747952,0.17044067394958812,0.016810147761193002
2026-01-07,0.06733419212892439,1.4997635702098553,0.5099447175480283,-0.7057054812490491,0.20293146942439577,
2026-01-08,0.08545264363100291,1.936858760373557,1.6358562172237991,-0.99,0.1443406830196946,0.014904517152763842
2026-01-09,0.08464557853395718,0.995412686506044,0.8496126736688768,-0.9261678927859408,0.1692544883773867,0.020252789795207424
2026-01-12,0.10091970366287359,1.3983027592416841,1.6973563269286376,-0.99,0.15961800884826857,0.016204058735342763
2026-01-13,0.08186808017138315,1.4022133343692884,1.3006428256546814,-0.99,0.17183829914084967,0.015783435915284815
2026-01-14,0.06775264888439066,1.0006736621128618,0.8049349337157837,-0.9065480651916793,0.19056960842561724,0.028452928645863865
2026-01-15,0.11428015143068555,0.959399665701139,1.3992564212091112,-0.9847954472187548,0.16446876010509298,0.013860884522492583
2026-01-16,0.06671035741055124,1.0005759498426037,0.8034494708898526,-0.9046444800541376,0.19575784313945607,0.02477569349395558
2026-01-20,0.05543062665673757,0.9938960548340846,0.8437248485892329,-0.9229330945790885,0.22385707683288167,0.022779992222793432
2026-01-21,0.11230972963081409,0.9435728170939801,1.363044601041381,-0.9812596789175192,0.17703146148335253,0.01415969494342485
2026-01-22,0.07007117411906877,1.50005207064756,0.5249006531804018,-0.7135718741463023,0.1852665091852235,
2026-01-23,0.06467190391825466,0.9995847152092757,0.814900075813794,-0.909790285553048,0.19793858009823775,0.02451104993773792
2026-01-26,0.08197809372893666,1.4548569197302312,1.0527087260152412,-0.9219542200651532,0.16727011666095226,0.017127473650684195
2026-01-27,0.12164836457202692,0.929775506615104,1.448369569832096,-0.99,0.16770661797474398,0.016854197518928776
2026-01-28,0.07197954229603121,1.0006293781222229,0.811416240353604,-0.9088376238875923,0.19645893456190555,0.024045708888175154
2026-01-29,0.06871566559348236,1.0005287179728641,0.804028406427289,-0.9051675318937351,0.19999352909576298,0.029730502904812238
2026-01-30,0.07471108302854142,2.493769205308072,2.0,-0.935929941764639,0.19232865859412568,0.01931573331808721
2026-02-02,0.0831633824707681,0.9989461128178301,0.8188077044722175,-0.9126829758361896,0.18333033866654003,0.021447519337382908
2026-02-03,0.13144667592203138,0.9511805050119946,1.5650821303851377,-0.99,0.17759427156470708,0.018272258626417168
2026-02-04,0.06861762072912016,1.4999527767662217,0.5059959545167836,-0.703816938935833,0.1981648947899693,
2026-02-05,0.09755948527406715,0.9710359192730899,1.4593250772552038,-0.9507571531962871,0.2258711519013161,0.018292398222019397
2026-02-06,0.12674602641450325,0.9279794783134518,1.4629153539757438,-0.99,0.17969600470743682,0.02115902928975679
2026-02-09,0.12744906640588943,0.9211102215388689,1.3681391219456396,-0.99,0.16182839692709458,0.013586996571997403
2026-02-10,0.06900371434373141,1.0006302396318,0.8040195751877511,-0.9057952004486339,0.19496095366798438,0.02637329612177183
2026-02-11,0.09235626401068497,1.8850126463010644,2.0,-0.99,0.18880039236360713,0.01716726077330852
2026-02-12,0.10090243629147304,0.9612456516567746,1.2497382323015012,-0.99,0.21029618847868478,0.01993219801180423
2026-02-13,0.061703012288745515,0.999533318556176,0.8164843877845809,-0.9117610397747054,0.2251849142804593,0.02292087298255123
2026-02-17,0.08663715460233931,0.9992150728382395,0.8075454304539924,-0.9056444672904232,0.20539391680403643,0.024826699175708736
2026-02-18,0.07124757630572028,1.0005794723870902,0.8047615829564659,-0.9058435008130366,0.2201891874879536,0.03397092850018043
2026-02-19,0.07176766218267439,1.4999723844526358,0.5075301235416433,-0.7046903519715821,0.21071721125335946,
2026-02-20,0.0672770565061292,1.0004354900098726,0.8055135870756799,-0.9061721084582613,0.21260340067871664,0.02929724676363988
2026-02-23,0.11686369163748479,0.9389086345783112,1.5018177596450075,-0.9763911615471037,0.21456476720737336,0.016125775629516448
2026-02-24,0.07248736114394291,1.0006854133990633,0.8017575501897036,-0.9036714448054908,0.20212757089509473,0.0248303785876898
2026-02-25,0.1530614854737431,0.9222440251027104,1.8433122447189443,-0.9776892719216932,0.17953764992203544,0.01650541907152254
2026-02-26,0.11308317179459328,0.9237561410356078,1.515070121735835,-0.99,0.19727735122562837,0.01867021789591526
